id,material,sample_inner_radius_mm,can_inner_radius_mm,sample_height_mm,can_height_mm,sample_volume_mm3,can_volume_mm3,can_outer_radius_mm,can_thick_mm,can_material_volume_cm3
cyl_6p35mm_63p246mm_Al,Al,3.175,3.175,63.246,63.246,2002.951326,2002.951326,3.556,0.381,0.51
cyl_9p525mm_63p246mm_Al,Al,4.7625,4.7625,63.246,63.246,4506.640484,4506.640484,5.1435,0.381,0.75
cyl_12p7mm_63p246mm_Al,Al,6.35,6.35,63.246,63.246,8011.805306,8011.805306,6.731,0.381,0.99
cyl_15p875mm_63p246mm_Al,Al,7.9375,7.9375,63.246,63.246,12518.44579,12518.44579,8.3185,0.381,1.231
cyl_3mm_50mm_V,V,1.5,1.5,50,50,353.4291735,353.4291735,1.6524,0.1524,0.075
cyl_6mm_50mm_V,V,3,3,50,50,1413.716694,1413.716694,3.1524,0.1524,0.147
cyl_8mm_50mm_V,V,4,4,50,50,2513.274123,2513.274123,4.1524,0.1524,0.195
cyl_10mm_50mm_V,V,5,5,50,50,3926.990817,3926.990817,5.1524,0.1524,0.243
cyl_2p38mm_60mm_Al,Al,2.3876,2.3876,60,60,1074.544148,1074.544148,2.7686,0.381,0.37
cyl_3p175mm_60mm_Al,Al,3.175,3.175,60,60,1900.153047,1900.153047,3.556,0.381,0.483
cyl_4p2815mm_60mm_Al,Al,4.3815,4.3815,60,60,3618.651462,3618.651462,4.7625,0.381,0.657
cyl_7p62mm_62mm_Al,Al,7.62,7.62,62,62,11309.71093,11309.71093,8.001,0.381,1.159
cyl_2p38mm_60mm_Cu,Cu,2.3876,2.3876,60,60,1074.544148,1074.544148,2.7686,0.381,0.37
cyl_3p175mm_60mm_Cu,Cu,3.175,3.175,60,60,1900.153047,1900.153047,3.556,0.381,0.483
cyl_4p382mm_60mm_Cu,Cu,4.3815,4.3815,60,60,3618.651462,3618.651462,4.7625,0.381,0.657
cyl_4p7752mm_31p75mm_Al,Al,2.3876,2.3876,31.75,31.75,568.6129452,568.6129452,2.7686,0.381,0.196
cyl_6p35mm_31p75mm_Al,Al,3.175,3.175,31.75,31.75,1005.497654,1005.497654,3.556,0.381,0.256
cyl_8p763mm_31p75mm_Al,Al,4.3815,4.3815,31.75,31.75,1914.869732,1914.869732,4.7625,0.381,0.347
cyl_4p7752mm_31p75mm_Cu,Cu,2.3876,2.3876,31.75,31.75,568.6129452,568.6129452,2.7686,0.381,0.196
cyl_6p35mm_31p75mm_Cu,Cu,3.175,3.175,31.75,31.75,1005.497654,1005.497654,3.556,0.381,0.256
cyl_8p763mm_31p75mm_Cu,Cu,4.3815,4.3815,31.75,31.75,1914.869732,1914.869732,4.7625,0.381,0.347